Dataset,Training_Release,%Training,%Defective_training,%Defective_testing,Classifier,Balancing,Feature_Selection,TP,FP,TN,FN,Precision,Recall,ROC_Area,Kappa
SYNCOPE,3,0.07507725868023996,0.018159806295399514,0.023508137432188065,IBk,Oversampling,CFS con Best First,10,19,521,3,0.3448275862068966,0.7692307692307693,0.9529202279202279,0.45861516553933773
SYNCOPE,3,0.07507725868023996,0.018159806295399514,0.023508137432188065,IBk,Undersampling,CFS con Best First,10,18,522,3,0.35714285714285715,0.7692307692307693,0.966025641025641,0.47081339712918685
SYNCOPE,3,0.07507725868023996,0.018159806295399514,0.023508137432188065,IBk,SMOTE,CFS con Best First,10,18,522,3,0.35714285714285715,0.7692307692307693,0.9712962962962963,0.47081339712918685
SYNCOPE,3,0.07507725868023996,0.018159806295399514,0.023508137432188065,Naive Bayes,No sampling,No selection,2,19,521,11,0.09523809523809523,0.15384615384615385,0.76994301994302,0.0912576687116564
SYNCOPE,3,0.07507725868023996,0.018159806295399514,0.023508137432188065,Naive Bayes,Oversampling,No selection,13,533,7,0,0.023809523809523808,1.0,0.7834045584045584,6.170934896636862E-4
SYNCOPE,3,0.07507725868023996,0.018159806295399514,0.023508137432188065,Naive Bayes,Undersampling,No selection,13,532,8,0,0.023853211009174313,1.0,0.7694444444444445,7.06512139780711E-4
SYNCOPE,3,0.07507725868023996,0.018159806295399514,0.023508137432188065,Naive Bayes,SMOTE,No selection,13,531,9,0,0.02389705882352941,1.0,0.76994301994302,7.962514929715501E-4
SYNCOPE,3,0.07507725868023996,0.018159806295399514,0.023508137432188065,Naive Bayes,No sampling,CFS con Best First,2,19,521,11,0.09523809523809523,0.15384615384615385,0.7373931623931624,0.0912576687116564
SYNCOPE,3,0.07507725868023996,0.018159806295399514,0.023508137432188065,Naive Bayes,Oversampling,CFS con Best First,12,401,139,1,0.029055690072639227,0.9230769230769231,0.7327635327635328,0.011270236612702425
SYNCOPE,3,0.07507725868023996,0.018159806295399514,0.023508137432188065,Naive Bayes,Undersampling,CFS con Best First,13,540,0,0,0.023508137432188065,1.0,0.7346153846153847,0.0
SYNCOPE,3,0.07507725868023996,0.018159806295399514,0.023508137432188065,Naive Bayes,SMOTE,CFS con Best First,13,540,0,0,0.023508137432188065,1.0,0.7327635327635328,0.0
SYNCOPE,4,0.10020905289947282,0.019501133786848073,0.02626970227670753,Random Forest,No sampling,No selection,3,0,556,12,1.0,0.2,0.8113309352517986,0.3274440518256782
SYNCOPE,4,0.10020905289947282,0.019501133786848073,0.02626970227670753,Random Forest,Oversampling,No selection,3,14,542,12,0.17647058823529413,0.2,0.791127098321343,0.16417070149757917
SYNCOPE,4,0.10020905289947282,0.019501133786848073,0.02626970227670753,Random Forest,Undersampling,No selection,3,11,545,12,0.21428571428571427,0.2,0.7704436450839328,0.18625689323997907
SYNCOPE,4,0.10020905289947282,0.019501133786848073,0.02626970227670753,Random Forest,SMOTE,No selection,3,9,547,12,0.25,0.2,0.7510791366906475,0.20362622036262282
SYNCOPE,4,0.10020905289947282,0.019501133786848073,0.02626970227670753,Random Forest,No sampling,CFS con Best First,4,4,552,11,0.5,0.26666666666666666,0.8117505995203836,0.33568603117970885
SYNCOPE,4,0.10020905289947282,0.019501133786848073,0.02626970227670753,Random Forest,Oversampling,CFS con Best First,7,18,538,8,0.28,0.4666666666666667,0.7827338129496403,0.32793119058397413
